пн,13.09.21,"0,20%"
вт,24.01.23,"0,10%"
ср,25.01.23,"0,11%"
чт,26.01.23,"0,05%"
пт,27.01.23,"0,04%"
сб,28.01.23,"0,00%"
вс,29.01.23,"0,00%"
пн,30.01.23,"0,11%"
вт,31.01.23,"0,13%"
ср,01.02.23,"0,06%"
чт,02.02.23,"0,13%"
пт,03.02.23,"0,08%"
сб,04.02.23,
вс,05.02.23,
пн,06.02.23,"0,10%"
вт,07.02.23,"0,15%"
ср,08.02.23,"0,12%"
чт,09.02.23,"0,05%"
пт,10.02.23,"0,05%"
сб,11.02.23,
вс,12.02.23,
пн,13.02.23,"0,08%"
вт,14.02.23,"0,10%"
ср,15.02.23,"0,09%"
чт,16.02.23,"0,07%"
пт,17.02.23,"0,07%"
сб,18.02.23,
вс,19.02.23,
пн,20.02.23,"0,07%"
вт,21.02.23,"0,09%"
ср,22.02.23,"0,06%"
чт,23.02.23,"0,11%"
пт,24.02.23,"0,04%"
сб,25.02.23,
вс,26.02.23,
пн,27.02.23,"0,07%"
вт,28.02.23,"0,21%"
ср,01.03.23,"0,18%"
чт,02.03.23,"0,06%"
пт,03.03.23,"0,05%"
сб,04.03.23,
вс,05.03.23,
пн,06.03.23,"0,08%"
вт,07.03.23,"0,06%"
ср,08.03.23,"0,08%"
чт,09.03.23,"0,07%"
пт,10.03.23,"0,32%"
сб,11.03.23,
вс,12.03.23,
пн,13.03.23,"0,05%"
вт,14.03.23,"0,07%"
ср,15.03.23,"0,17%"
чт,16.03.23,"0,15%"
пт,17.03.23,"0,16%"
сб,18.03.23,
вс,19.03.23,
пн,20.03.23,"0,16%"
вт,21.03.23,"0,12%"
ср,22.03.23,"0,07%"
чт,23.03.23,"0,06%"
пт,24.03.23,"0,09%"
сб,25.03.23,
вс,26.03.23,
пн,27.03.23,"0,09%"
вт,28.03.23,"0,06%"
ср,29.03.23,"0,03%"
чт,30.03.23,"0,05%"
пт,31.03.23,"0,05%"
сб,01.04.23,
вс,02.04.23,
пн,03.04.23,"0,14%"
вт,04.04.23,"0,16%"
ср,05.04.23,"0,16%"
чт,06.04.23,"0,07%"
пт,07.04.23,"0,06%"
сб,08.04.23,
вс,09.04.23,
пн,10.04.23,"0,10%"
вт,11.04.23,"0,08%"
ср,12.04.23,"0,06%"
чт,13.04.23,"0,03%"
пт,14.04.23,"0,09%"
сб,15.04.23,
вс,16.04.23,
пн,17.04.23,"0,08%"
вт,18.04.23,"0,04%"
ср,19.04.23,"0,08%"
чт,20.04.23,"0,05%"
пт,21.04.23,"0,08%"
сб,22.04.23,
вс,23.04.23,
пн,24.04.23,"0,04%"
вт,25.04.23,"0,11%"
ср,26.04.23,"0,05%"
чт,27.04.23,"0,09%"
пт,28.04.23,"0,05%"
сб,29.04.23,
вс,30.04.23,
пн,01.05.23,"0,36%"
вт,02.05.23,"0,18%"
ср,03.05.23,"0,17%"
чт,04.05.23,"0,17%"
пт,05.05.23,"0,12%"
сб,06.05.23,
вс,07.05.23,
пн,08.05.23,"0,04%"
вт,09.05.23,"0,09%"
ср,10.05.23,"0,02%"
чт,11.05.23,"0,07%"
пт,12.05.23,"0,15%"
сб,13.05.23,
вс,14.05.23,
пн,15.05.23,"0,11%"
вт,16.05.23,"0,04%"
ср,17.05.23,"0,05%"
чт,18.05.23,"0,03%"
пт,19.05.23,"0,07%"
сб,20.05.23,
вс,21.05.23,
пн,22.05.23,"0,05%"
вт,23.05.23,"0,10%"
ср,24.05.23,"0,09%"
чт,25.05.23,"0,03%"
пт,26.05.23,"0,03%"
сб,27.05.23,
вс,28.05.23,
пн,29.05.23,"0,05%"
вт,30.05.23,"0,08%"
ср,31.05.23,"0,08%"
чт,01.06.23,"0,19%"
пт,02.06.23,"0,08%"
сб,03.06.23,
вс,04.06.23,
пн,05.06.23,"0,05%"
вт,06.06.23,"0,03%"
ср,07.06.23,"0,04%"
чт,08.06.23,"0,02%"
пт,09.06.23,"0,12%"
сб,10.06.23,
вс,11.06.23,
пн,12.06.23,"0,06%"
вт,13.06.23,"0,04%"
ср,14.06.23,"0,10%"
чт,15.06.23,"0,02%"
пт,16.06.23,"0,02%"
сб,17.06.23,
вс,18.06.23,
пн,19.06.23,"0,24%"
вт,20.06.23,"0,21%"
ср,21.06.23,"0,14%"
чт,22.06.23,"0,08%"
пт,23.06.23,"0,06%"
сб,24.06.23,
вс,25.06.23,
пн,26.06.23,"0,05%"
вт,27.06.23,"0,02%"
ср,28.06.23,"0,07%"
чт,29.06.23,"0,06%"
пт,30.06.23,"0,03%"
сб,01.07.23,
вс,02.07.23,
пн,03.07.23,"0,03%"
вт,04.07.23,"0,08%"
ср,05.07.23,"0,02%"
чт,06.07.23,"0,11%"
пт,07.07.23,"0,05%"
сб,08.07.23,
вс,09.07.23,
пн,10.07.23,"0,12%"
вт,11.07.23,"0,29%"
ср,12.07.23,"0,26%"
чт,13.07.23,"0,12%"
пт,14.07.23,"0,09%"
сб,15.07.23,
вс,16.07.23,
пн,17.07.23,"0,10%"
вт,18.07.23,"0,15%"
ср,19.07.23,"0,24%"
чт,20.07.23,"0,12%"
пт,21.07.23,"0,05%"
сб,22.07.23,
вс,23.07.23,
пн,24.07.23,"0,11%"
вт,25.07.23,"0,10%"
ср,26.07.23,"0,12%"
чт,27.07.23,"0,21%"
пт,28.07.23,"0,05%"
сб,29.07.23,
вс,30.07.23,
пн,31.07.23,"0,16%"
вт,01.08.23,"0,06%"
ср,02.08.23,"0,06%"
чт,03.08.23,"0,07%"
пт,04.08.23,"0,03%"
сб,05.08.23,
вс,06.08.23,
пн,07.08.23,"0,03%"
вт,08.08.23,"0,11%"
ср,09.08.23,"0,02%"
чт,10.08.23,"0,03%"
пт,11.08.23,"0,06%"
сб,12.08.23,
вс,13.08.23,
пн,14.08.23,"0,04%"
вт,15.08.23,"0,03%"
ср,16.08.23,"0,02%"
чт,17.08.23,"0,03%"
пт,18.08.23,"0,03%"
сб,19.08.23,
вс,20.08.23,
пн,21.08.23,"0,02%"
вт,22.08.23,"0,04%"
ср,23.08.23,"0,34%"
чт,24.08.23,"0,04%"
пт,25.08.23,"0,04%"
сб,26.08.23,
вс,27.08.23,
пн,28.08.23,"0,01%"
вт,29.08.23,"0,14%"
ср,30.08.23,"0,05%"
чт,31.08.23,"0,15%"
пт,01.09.23,"0,10%"
сб,02.09.23,
вс,03.09.23,
пн,04.09.23,"0,04%"
вт,05.09.23,"0,11%"
ср,06.09.23,"0,07%"
чт,07.09.23,"0,08%"
пт,08.09.23,"0,07%"
сб,09.09.23,
вс,10.09.23,
пн,11.09.23,"0,10%"
вт,12.09.23,"0,09%"
ср,13.09.23,"0,14%"
чт,14.09.23,"0,07%"
пт,15.09.23,"0,06%"
сб,16.09.23,
вс,17.09.23,
пн,18.09.23,"0,05%"
вт,19.09.23,"0,13%"
ср,20.09.23,"0,07%"
чт,21.09.23,"0,05%"
пт,22.09.23,"0,11%"
сб,23.09.23,
вс,24.09.23,
пн,25.09.23,"0,08%"
вт,26.09.23,"0,05%"
ср,27.09.23,"0,14%"
чт,28.09.23,"0,18%"
пт,29.09.23,"0,24%"
сб,30.09.23,
вс,01.10.23,
пн,02.10.23,"0,15%"
вт,03.10.23,"0,12%"
ср,04.10.23,"0,17%"
чт,05.10.23,"0,20%"
пт,06.10.23,"0,18%"
сб,07.10.23,"0,00%"
вс,08.10.23,"0,00%"
пн,09.10.23,"0,16%"
вт,10.10.23,"0,18%"
ср,11.10.23,"0,20%"
чт,12.10.23,"0,22%"
пт,13.10.23,"0,15%"
сб,14.10.23,"0,00%"
вс,15.10.23,"0,00%"
пн,16.10.23,"0,20%"
вт,17.10.23,"0,18%"
ср,18.10.23,"0,16%"
чт,19.10.23,"0,18%"
пт,20.10.23,"0,15%"
сб,21.10.23,"0,00%"
вс,22.10.23,"0,00%"
пн,23.10.23,"0,12%"
вт,24.10.23,"0,13%"
ср,25.10.23,"0,15%"
чт,26.10.23,"0,18%"
пт,27.10.23,"0,18%"
сб,28.10.23,"0,00%"
вс,29.10.23,"0,00%"
пн,30.10.23,"0,14%"
вт,31.10.23,"0,10%"
ср,01.11.23,"0,12%"
чт,02.11.23,"0,12%"
пт,03.11.23,"0,10%"
сб,04.11.23,"0,00%"
вс,05.11.23,"0,00%"
пн,06.11.23,"0,10%"
вт,07.11.23,"0,15%"
ср,08.11.23,"0,10%"
чт,09.11.23,"0,16%"
пт,10.11.23,"0,14%"
сб,11.11.23,"0,00%"
вс,12.11.23,"0,00%"
пн,13.11.23,"0,14%"
вт,14.11.23,"0,10%"
ср,15.11.23,"0,11%"
чт,16.11.23,"0,10%"
пт,17.11.23,"0,10%"
сб,18.11.23,"0,00%"
вс,19.11.23,"0,00%"
пн,20.11.23,"0,09%"
вт,21.11.23,"0,15%"
ср,22.11.23,"0,10%"
чт,23.11.23,"0,14%"
пт,24.11.23,"0,09%"
сб,25.11.23,"0,00%"
вс,26.11.23,"0,00%"
пн,27.11.23,"0,10%"
вт,28.11.23,"0,09%"
ср,29.11.23,"0,10%"
чт,30.11.23,"0,10%"
пт,01.12.23,"0,11%"
сб,02.12.23,"0,00%"
вс,03.12.23,"0,00%"
пн,04.12.23,"0,10%"
вт,05.12.23,"0,10%"
ср,06.12.23,"0,08%"
чт,07.12.23,"0,07%"
пт,08.12.23,"0,09%"
сб,09.12.23,"0,00%"
вс,10.12.23,"0,00%"
пн,11.12.23,"0,04%"
вт,12.12.23,"0,02%"
ср,13.12.23,"0,00%"
чт,14.12.23,"0,00%"
пт,15.12.23,"0,00%"
сб,16.12.23,
вс,17.12.23,
пн,18.12.23,"0,00%"
вт,19.12.23,"0,00%"
ср,20.12.23,"0,00%"
чт,21.12.23,"0,00%"
пт,22.12.23,"0,00%"
сб,23.12.23,
вс,24.12.23,
пн,25.12.23,"0,00%"
вт,26.12.23,"0,00%"
ср,27.12.23,"0,00%"
чт,28.12.23,"0,00%"
пт,29.12.23,"0,00%"
сб,30.12.23,
вс,31.12.23,
пн,01.01.24,"0,00%"
вт,02.01.24,"0,00%"
ср,03.01.24,"0,00%"
чт,04.01.24,"0,00%"
пт,05.01.24,"0,00%"
сб,06.01.24,
вс,07.01.24,
пн,08.01.24,"0,09%"
вт,09.01.24,"0,13%"
ср,10.01.24,"0,14%"
чт,11.01.24,"0,16%"
пт,12.01.24,"0,12%"
сб,13.01.24,
вс,14.01.24,
пн,15.01.24,"0,15%"
вт,16.01.24,"0,10%"
ср,17.01.24,"0,12%"
чт,18.01.24,"0,11%"
пт,19.01.24,"0,05%"
сб,20.01.24,
вс,21.01.24,
пн,22.01.24,"0,12%"
вт,23.01.24,"0,12%"
ср,24.01.24,"0,11%"
чт,25.01.24,"0,09%"
пт,26.01.24,"0,07%"
сб,27.01.24,
вс,28.01.24,
пн,29.01.24,"0,09%"
вт,30.01.24,"0,12%"
ср,31.01.24,"0,13%"
чт,01.02.24,"0,15%"
пт,02.02.24,"0,13%"
сб,03.02.24,
вс,04.02.24,
пн,05.02.24,"0,11%"
вт,06.02.24,"0,10%"
ср,07.02.24,"0,13%"
чт,08.02.24,"0,06%"
пт,09.02.24,"0,09%"
сб,10.02.24,
вс,11.02.24,
пн,12.02.24,"0,08%"
вт,13.02.24,"0,12%"
ср,14.02.24,"0,10%"
чт,15.02.24,"0,10%"
пт,16.02.24,"0,11%"
сб,17.02.24,
вс,18.02.24,
пн,19.02.24,"0,11%"
вт,20.02.24,"0,11%"
ср,21.02.24,"0,06%"
чт,22.02.24,"0,10%"
пт,23.02.24,"0,14%"
сб,24.02.24,
вс,25.02.24,
пн,26.02.24,"0,09%"
вт,27.02.24,"0,07%"
ср,28.02.24,"0,06%"
чт,29.02.24,"0,10%"
пт,01.03.24,"0,12%"
сб,02.03.24,
вс,03.03.24,
пн,04.03.24,"0,11%"
вт,05.03.24,"0,09%"
ср,06.03.24,"0,10%"
чт,07.03.24,"0,08%"
пт,08.03.24,"0,10%"
сб,09.03.24,
вс,10.03.24,
пн,11.03.24,"0,10%"
вт,12.03.24,"0,15%"
ср,13.03.24,"0,11%"
чт,14.03.24,"0,09%"
пт,15.03.24,"0,08%"
сб,16.03.24,
вс,17.03.24,
пн,18.03.24,"0,06%"
вт,19.03.24,"0,10%"
ср,20.03.24,"0,06%"
чт,21.03.24,"0,09%"
пт,22.03.24,"0,07%"
сб,23.03.24,
вс,24.03.24,
пн,25.03.24,"0,09%"
вт,26.03.24,"0,10%"
ср,27.03.24,"0,07%"
чт,28.03.24,"0,08%"
пт,29.03.24,"0,06%"
сб,30.03.24,
вс,31.03.24,
пн,01.04.24,"0,08%"
вт,02.04.24,"0,10%"
ср,03.04.24,"0,05%"
чт,04.04.24,"0,06%"
пт,05.04.24,"0,08%"
сб,06.04.24,
вс,07.04.24,
пн,08.04.24,"0,09%"
вт,09.04.24,"0,07%"
ср,10.04.24,"0,10%"
чт,11.04.24,"0,11%"
пт,12.04.24,"0,05%"
сб,13.04.24,
вс,14.04.24,
пн,15.04.24,"0,07%"
вт,16.04.24,"0,14%"
ср,17.04.24,"0,06%"
чт,18.04.24,"0,06%"
пт,19.04.24,"0,05%"
сб,20.04.24,
вс,21.04.24,
пн,22.04.24,"0,04%"
вт,23.04.24,"0,07%"
ср,24.04.24,"0,09%"
чт,25.04.24,"0,05%"
пт,26.04.24,"0,06%"
сб,27.04.24,
вс,28.04.24,
пн,29.04.24,"0,08%"
вт,30.04.24,"0,11%"
ср,01.05.24,"0,07%"
чт,02.05.24,"0,09%"
пт,03.05.24,"0,06%"
сб,04.05.24,
вс,05.05.24,
пн,06.05.24,"0,07%"
вт,07.05.24,"0,10%"
ср,08.05.24,"0,12%"
чт,09.05.24,"0,05%"
пт,10.05.24,"0,06%"
сб,11.05.24,
вс,12.05.24,
пн,13.05.24,"0,07%"
вт,14.05.24,"0,09%"
ср,15.05.24,"0,11%"
чт,16.05.24,"0,05%"
пт,17.05.24,"0,06%"
сб,18.05.24,
вс,19.05.24,
пн,20.05.24,"0,08%"
вт,21.05.24,"0,15%"
ср,22.05.24,"0,05%"
чт,23.05.24,"0,06%"
пт,24.05.24,"0,05%"
сб,25.05.24,
вс,26.05.24,
пн,27.05.24,"0,08%"
вт,28.05.24,"0,06%"
ср,29.05.24,"0,12%"
чт,30.05.24,"0,05%"
пт,31.05.24,"0,08%"
сб,01.06.24,
вс,02.06.24,
пн,03.06.24,"0,06%"
вт,04.06.24,"0,11%"
ср,05.06.24,"0,08%"
чт,06.06.24,"0,04%"
пт,07.06.24,"0,06%"
сб,08.06.24,
вс,09.06.24,
пн,10.06.24,"0,10%"
вт,11.06.24,"0,11%"
ср,12.06.24,"0,11%"
чт,13.06.24,"0,06%"
пт,14.06.24,"0,05%"
сб,15.06.24,